slug,name_en,formerly_en,category_en,category_es,class_en,class_es,page,kind,has_svg,webp,png,svg,width_px,height_px,sha256_webp,webp_bytes,svg_bytes,mundoja_file,webp_url,notes
community-helpers,Community Helpers,,Community,Comunidad,Little Lamb,Corderitos,15,vector,true,webp/community-helpers.webp,png/community-helpers.png,svg/community-helpers.svg,512,364,5851cdeabd800d4523c3b36e8e588cae17523d812c28e4ff6ce66b60a28d6f40,19452,9418,,https://media.adventist.club/patches/79f7d1324355400d806dc413f0d83521.webp,
cooperation,Cooperation,,Community,Comunidad,Helping Hands,Manos Ayudadoras,17,vector,true,webp/cooperation.webp,png/cooperation.png,svg/cooperation.svg,512,364,6ff24b6fc3e395006a955a03af7778c5e84cddb597e508e179d41fbf4144f257,19234,7040,,https://media.adventist.club/patches/bf35f2d3ced44548b7a022efa80a92cf.webp,
country-fun,Country Fun,,Community,Comunidad,Helping Hands,Manos Ayudadoras,21,vector,true,webp/country-fun.webp,png/country-fun.png,svg/country-fun.svg,512,364,1122cf60ae13af41795f257ea04a3d93e2c98f70b384d88d12167ebb0cd2c10a,14292,4005,,https://media.adventist.club/patches/5c50aaa1054941b0b45555f580573a81.webp,
fire-safety,Fire Safety,,Community,Comunidad,Early Bird,Aves Madrugadoras,25,vector,true,webp/fire-safety.webp,png/fire-safety.png,svg/fire-safety.svg,512,364,c5313cc4eedd0b917df439290c9b4b52bc33e797bcf8b93bcdc4016b21f7090f,15898,10158,,https://media.adventist.club/patches/1d690fc0841a40ccbb5a0b521073eafc.webp,
hands-of-service,Hands of Service,,Community,Comunidad,Helping Hands,Manos Ayudadoras,27,vector,true,webp/hands-of-service.webp,png/hands-of-service.png,svg/hands-of-service.svg,512,364,61493433ecf67d00bfe1fd1d9afc6502aaf4c7ee630ac65a1b17761b817bbadf,17346,6387,,https://media.adventist.club/patches/8a37db75f7854507bbe921b21fe5624f.webp,
my-community-friends,My Community Friends,,Community,Comunidad,Early Bird,Aves Madrugadoras,29,vector,true,webp/my-community-friends.webp,png/my-community-friends.png,svg/my-community-friends.svg,512,364,974c364299209c257dbc3f315c7aceef16c23f4816b943dfbdc9af8303d9b920,18780,6951,,https://media.adventist.club/patches/26577ac6747849a58c0a8aa2f0bfc4ff.webp,
road-safety,Road Safety,,Community,Comunidad,Sunbeam,Rayos de Sol,33,vector,true,webp/road-safety.webp,png/road-safety.png,svg/road-safety.svg,512,364,669b36021b4e4d1d8be09d453d5eb6ce83c00e5e9557e8db9300da9bb16fdcd2,13134,1155,,https://media.adventist.club/patches/6509989f84c540e9891b7fe49682a003.webp,
artist,Artist,,Crafts,Manualidades,Busy Bee,Abejas Industriosas,39,raster,false,webp/artist.webp,png/artist.png,,351,250,51e46d23ddd15b71c90f8d82056cf386b1614404fafd6ee4b06ebea8ed43e915,9886,,,https://media.adventist.club/patches/11fc5aee5126485bbbdafef16ad0a36a.webp,"raster en el libro (351×250 px, JPEG + máscara): sin SVG; PNG/WebP a tamaño nativo"
basket-maker,Basket Maker,,Crafts,Manualidades,Helping Hands,Manos Ayudadoras,41,vector,true,webp/basket-maker.webp,png/basket-maker.png,svg/basket-maker.svg,512,364,edb211ed704a22c3f587ff82cb20652a38ff0133f6993df059983e7a53446503,20962,26143,,https://media.adventist.club/patches/9c190a3c282d4118aa6cd5bbb3b1254e.webp,
bead-craft,Bead Craft,,Crafts,Manualidades,Builder,Constructor,43,vector,true,webp/bead-craft.webp,png/bead-craft.png,svg/bead-craft.svg,512,364,c57e9252be12047e2329621c3e684752aae274a9bcaa11a4107a02f1c1aa6b60,18092,5193,,https://media.adventist.club/patches/c10d91a76e7b4cc08e640931bf099835.webp,
build-and-fly,Build & Fly,,Crafts,Manualidades,Builder,Constructor,45,vector,true,webp/build-and-fly.webp,png/build-and-fly.png,svg/build-and-fly.svg,512,364,723218ba558bd715c04d20ccda4a44f4e9e142cc491b9961b0a408606cdddfda,16630,40105,,https://media.adventist.club/patches/79867f63f44a454a807e77c8a9221d2c.webp,
building-blocks,Building Blocks,,Crafts,Manualidades,Builder,Constructor,47,raster,false,webp/building-blocks.webp,png/building-blocks.png,,86,61,ae9c9823394ec00d497829aa62403fa71450360e22e574b23291cbf1e4e70932,2118,,,https://media.adventist.club/patches/e39abe09155d4fe68a05706f6300d0d0.webp,"raster en el libro (86×61 px, JPEG + máscara): sin SVG; PNG/WebP a tamaño nativo; baja resolución, buscar sustituto"
buttons,Buttons,,Crafts,Manualidades,Busy Bee,Abejas Industriosas,51,vector,true,webp/buttons.webp,png/buttons.png,svg/buttons.svg,512,364,e33bd2978431b7196f256bae20e82896729c925ba109e90909ebf88c429da5f3,21998,6671,,https://media.adventist.club/patches/ec85529dc3134ee0a5237ba120bb6a0b.webp,
carpenter,Carpenter,,Crafts,Manualidades,Helping Hands,Manos Ayudadoras,53,vector,true,webp/carpenter.webp,png/carpenter.png,svg/carpenter.svg,512,364,f6fa12aceda75bd8165182c9f1b0d93d7ce0e103078cb1c069dbfae3787734a2,15146,17890,,https://media.adventist.club/patches/63498bb19232433e834616c9d0213842.webp,
colors,Colors,,Crafts,Manualidades,Little Lamb,Corderitos,55,vector,true,webp/colors.webp,png/colors.png,svg/colors.svg,512,364,d88b976989b2853aec58c071e66960ddc441dcbf9b01bda4646a62d7c0fb9230,22150,62247,,https://media.adventist.club/patches/08482e68a6034f7ea2d274181123fd79.webp,
crayons-and-markers,Crayons and Markers,,Crafts,Manualidades,Early Bird,Aves Madrugadoras,57,vector,true,webp/crayons-and-markers.webp,png/crayons-and-markers.png,svg/crayons-and-markers.svg,512,364,a152c0042b5399223661902bff3e858a3e691228c93568a725037749fa477e37,17570,11571,,https://media.adventist.club/patches/46dedfb539024ae8ac0fa5ce2b44ba03.webp,
finger-play,Finger Play,,Crafts,Manualidades,Little Lamb,Corderitos,59,vector,true,webp/finger-play.webp,png/finger-play.png,svg/finger-play.svg,512,368,63211eeb6a2b75cb5338ee21689d56fc59a5883272b47a80f4c5c6970671c56a,25736,22782,,https://media.adventist.club/patches/1a8d1e5f42f84da6ac52d3982a053e87.webp,
gadgets-and-sand,Gadgets and Sand,,Crafts,Manualidades,Early Bird,Aves Madrugadoras,63,vector,true,webp/gadgets-and-sand.webp,png/gadgets-and-sand.png,svg/gadgets-and-sand.svg,512,364,7468c8d7d747d37a8a1ddffc560c347fd62e093d5e6703b8732785f9b9082797,17264,30524,,https://media.adventist.club/patches/608d3106bb4f4fa7a8df4d594feecbb0.webp,
