mundoja_file,ficha_url,name_es,slug,name_en,cotejo,nota
actos-de-bondad.png,https://mundoja.org/component/content/article/1277-actos-de-bondad,Actos de bondad,acts-of-kindness,Acts of Kindness,nombre+imagen,
amigos-de-la-biblia.png,https://mundoja.org/component/content/article/604-amigos-de-la-biblia,Amigos de la Biblia I,bible-friends-i,Bible Friends I,nombre+imagen,la imagen de mundoja lleva «I» impreso (misma URL base que la II)
amigos-de-la-biblia2.png,https://mundoja.org/component/content/article/624-amigos-de-la-biblia,Amigos de la Biblia II,bible-friends-ii,Bible Friends II,nombre+imagen,la imagen de mundoja lleva «II» impreso
biblia1.png,https://mundoja.org/component/content/article/575-biblia-i,Biblia I,bible-i,Bible I,nombre+imagen,
biblia2.png,https://mundoja.org/component/content/article/576-biblia-ii,Biblia II,bible-ii,Bible II,nombre+imagen,
biblia3.png,https://mundoja.org/component/content/article/1278-biblia-iii,Biblia III,bible-iii,Bible III,nombre+imagen,
biblia4.png,https://mundoja.org/component/content/article/1279-biblia-iv,Biblia IV,bible-iv,Bible IV,nombre+imagen,
realeza-biblica.png,https://mundoja.org/component/content/article/586-realeza-biblica,Realeza bíblica,bible-royalty,Bible Royalty,nombre+imagen,
narracion-de-la-biblia.png,https://mundoja.org/component/content/article/1280-narracion-de-la-biblia,Narración de la Biblia,bible-storytelling,Bible Storytelling,nombre+imagen,
pan-de-vida.png,https://mundoja.org/component/content/article/1281-pan-de-vida,Pan de vida,bread-of-life,Bread of Life,nombre+imagen,
creacion.png,https://mundoja.org/component/content/article/1282-creacion,Creación,creation,Creation,nombre+imagen,
sabado-de-delicia.png,https://mundoja.org/component/content/article/1283-sabado-de-delicia,Sábado de delicia,delightful-sabbath,Delightful Sabbath,nombre+imagen,
discipulos.png,https://mundoja.org/component/content/article/577-discipulos,Discípulos,disciples,Disciples,nombre+imagen,
pioneros-adventistas.png,https://mundoja.org/component/content/article/584-pioneros-adventistas,Pioneros adventistas,early-adventist-pioneers,Early Adventist Pioneers,nombre+imagen,
amigo-de-jesus.png,https://mundoja.org/component/content/article/573-amigo-de-jesus,Amigo de Jesús,friend-of-jesus,Friend of Jesus,nombre+imagen,
frutos-del-espiritu.png,https://mundoja.org/component/content/article/578-frutos-del-espiritu,Frutos del Espíritu,fruits-of-the-spirit,Fruits of the Spirit,nombre+imagen,
el-mundo-de-Dios.png,https://mundoja.org/component/content/article/641-el-mundo-de-dios,El mundo de Dios,gods-world,God’s World,nombre+imagen,
buen-samaritano.png,https://mundoja.org/component/content/article/1284-buen-samaritano,Buen samaritano,good-samaritan,Good Samaritan,nombre+imagen,
la-cena-especial-de-jesus.png,https://mundoja.org/component/content/article/648-la-cena-especial-de-jesus,La cena especial de Jesús,jesus-special-supper,Jesus’ Special Supper,nombre+imagen,
estrella-de-jesus.png,https://mundoja.org/component/content/article/633-estrella-de-jesus,Estrella de Jesús,jesus-star,Jesus’ Star,nombre+imagen,
escuchando.png,https://mundoja.org/component/content/article/1285-escuchando,Escuchando,listening,Listening,nombre+imagen,
nino-jesus.png,https://mundoja.org/component/content/article/621-nino-jesus,Niño Jesús,little-boy-jesus,Little Boy Jesus,nombre+imagen,
mi-iglesia.png,https://mundoja.org/component/content/article/581-mi-iglesia,Mi iglesia,my-church,My Church,nombre+imagen,
mi-amigo-jesus.png,https://mundoja.org/component/content/article/620-mi-amigo-jesus,Mi amigo Jesús,my-friend-jesus,My Friend Jesus,nombre+imagen,
parabolas-de-jesus.png,https://mundoja.org/component/content/article/1286-parabolas-de-jesus,Parábolas de Jesús,parables-of-jesus,Parables of Jesus,nombre+imagen,
puertas-de-perla.png,https://mundoja.org/component/content/article/585-puertas-de-perla,Puertas de perla,pearly-gates,Pearly Gates,nombre+imagen,
oracion.png,https://mundoja.org/component/content/article/582-oracion,Oración,prayer,Prayer,nombre+imagen,
guerrero-de-oracion.png,https://mundoja.org/component/content/article/579-paladin-de-oracion,Paladín de oración,prayer-warrior,Prayer Warrior,nombre+imagen,
pureza.png,https://mundoja.org/component/content/article/1287-pureza,Pureza,purity,Purity,nombre+imagen,
promesas-del-arco-iris.png,https://mundoja.org/component/content/article/574-promesa-del-arco-iris,Promesa del arco iris,rainbow-promise,Rainbow Promise,nombre+imagen,
pasos-a-jesus.png,https://mundoja.org/component/content/article/583-pasos-a-jesus,Pasos a Jesús,steps-to-jesus,Steps to Jesus,nombre+imagen,
tabernaculo.png,https://mundoja.org/component/content/article/1288-tabernaculo,Tabernáculo,tabernacle,Tabernacle,nombre+imagen,
temperancia.png,https://mundoja.org/component/content/article/587-temperancia,Temperancia,temperance,Temperance,nombre+imagen,
mayordomo-sabio.png,https://mundoja.org/component/content/article/580-mayordomo-sabio,Mayordomo sabio,wise-steward,Wise Steward,nombre+imagen,
