categoria,award,clase,pagina,archivo,ancho_pt,alto_pt
Community,Community Helpers,Little Lamb,15,community-helpers.png,104.2,69.9
Community,Cooperation,Helping Hands,17,cooperation.png,98.0,65.8
Community,Country Fun,Helping Hands,21,country-fun.png,98.0,65.8
Community,Fire Safety,Early Bird,25,fire-safety.png,98.0,65.8
Community,Hands of Service,Helping Hands,27,hands-of-service.png,98.0,78.2
Community,My Community Friends,Early Bird,29,my-community-friends.png,98.0,65.8
Community,Road Safety,Sunbeam,33,road-safety.png,98.0,65.8
Crafts,Basket Maker,Helping Hands,41,basket-maker.png,98.0,65.8
Crafts,Bead Craft,Builder,43,bead-craft.png,98.0,65.8
Crafts,Build & Fly,Builder,45,build-fly.png,98.0,67.2
Crafts,Buttons,Busy Bee,51,buttons.png,98.0,65.8
Crafts,Carpenter,Helping Hands,53,carpenter.png,98.0,65.8
Crafts,Colors,Little Lamb,55,colors.png,98.0,65.8
Crafts,Crayons and Markers,Early Bird,57,crayons-and-markers.png,98.0,65.8
Crafts,Finger Play,Little Lamb,59,finger-play.png,90.4,66.2
Crafts,Gadgets and Sand,Early Bird,63,gadgets-and-sand.png,98.0,65.8
Crafts,Glue Right,Sunbeam,65,glue-right.png,98.0,65.8
Crafts,Hand Shadows,Builder,67,hand-shadows.png,98.0,65.8
Crafts,Handicraft,Sunbeam,69,handicraft.png,98.0,65.8
Crafts,Jigsaw Puzzles,Early Bird,71,jigsaw-puzzles.png,98.0,65.8
Crafts,Magnet Fun I,Builder,73,magnet-fun-i.png,98.0,65.8
Crafts,Magnet Fun II,Builder,75,magnet-fun-ii.png,98.0,65.8
Crafts,Media Critic,Builder,77,media-critic.png,98.0,65.8
Crafts,Music I,Little Lamb,79,music-i.png,98.0,65.8
Crafts,Music II,Busy Bee,81,music-ii.png,98.0,65.8
Crafts,My Picture Book,Helping Hands,83,my-picture-book.png,98.0,65.8
Crafts,Postcards,Builder,85,postcards.png,98.0,65.8
Crafts,Reporter,Helping Hands,87,reporter.png,98.0,65.8
Crafts,Shapes and Sizes,Early Bird,89,shapes-and-sizes.png,98.0,65.8
Crafts,Sign Language,Helping Hands,91,sign-language.png,99.2,66.6
Crafts,Sponge Art,Early Bird,93,sponge-art.png,98.0,65.8
Crafts,Stamping Fun I,Early Bird,95,stamping-fun-i.png,98.0,65.8
Crafts,Stamping Fun II,Helping Hands,97,stamping-fun-ii.png,98.0,65.8
Crafts,Tin Can Fun,Builder,101,tin-can-fun.png,98.0,65.8
Home,Alphabet I (Formerly ABC’s),Little Lamb,107,alphabet-i-formerly-abcs.png,98.0,65.8
Home,Alphabet II (Formerly Alphabet Fun),Early Bird,109,alphabet-ii-formerly-alphabet-fun.png,98.7,66.2
Home,Baking,Sunbeam,111,baking.png,98.0,65.8
Home,Collector,Sunbeam,113,collector.png,98.0,65.8
Home,Cooking Fun,Sunbeam,115,cooking-fun.png,98.0,65.8
Home,Courtesy,Sunbeam,117,courtesy.png,98.0,65.8
Home,Family Helper,Builder,119,family-helper.png,98.0,65.8
Home,Gardener,Sunbeam,121,gardener.png,98.0,65.8
Home,Health Specialist,Busy Bee,123,health-specialist.png,98.0,65.8
Home,Healthy Foods,Little Lamb,125,healthy-foods.png,90.4,66.2
Home,Healthy Me,Little Lamb,129,healthy-me.png,98.0,65.8
Home,Home Craft,Builder,133,home-craft.png,98.0,65.8
Home,Home Helper I (Formerly Helping at Home),Early Bird,135,home-helper-i-formerly-helping-at-home.png,98.0,65.8
