wiki_title,nombre_es_wiki,autoridad,categoria_wiki,nuestro_slug,nota
Hammock Camping,Acampar en hamaca,NAD,Actividades recreacionales,,no existe en nuestro catálogo
Red Alert I,Alerta roja I,NAD,Salud y ciencia,,solo tenemos 'Alerta roja' (ya enlazada a Red Alert)
Red Alert II,Alerta roja II,NAD,Salud y ciencia,,solo tenemos 'Alerta roja' (ya enlazada a Red Alert)
Weather - Advanced,Climatología - Avanzado,GC,Estudio de la naturaleza,,no existe en nuestro catálogo
Computers and Mobile Devices,Computadoras y dispositivos móviles,NAD,Actividades vocacionales,,no existe en nuestro catálogo
Computers and Mobile Devices - Advanced,Computadoras y dispositivos móviles - Avanzado,NAD,Actividades vocacionales,,no existe en nuestro catálogo
Spy Danger,Detectar peligro,GC,Actividades vocacionales,,no existe en nuestro catálogo
Great Ball Contraption,Gran artilugio de bolas,NAD,Artes y actividades manuales,,no existe en nuestro catálogo
Great Ball Contraption - Advanced,Gran artilugio de bolas - Avanzado,NAD,Artes y actividades manuales,,no existe en nuestro catálogo
Magnets,Imanes,NAD,Estudio de la naturaleza,,no existe en nuestro catálogo
3D Printing,Impresión 3D,NAD,Actividades vocacionales,,no existe en nuestro catálogo
Introduction to Adventist Pioneer Heritage,Introducción a la herencia de los pioneros adventistas,GC,"Crecimiento espiritual, actividades misioneras y herencia",,no existe en nuestro catálogo
Ice Skating,Patinaje sobre hielo,NAD,Actividades recreacionales,,¿es nuestra 'Patines' (patines)? probablemente no
First Aid,Primeros auxilios,NAD,Salud y ciencia,,tenemos Primeros auxilios I/II/II avanzado ya enlazadas; esta es la genérica NAD
Abseiling - Instructor,Rápel - Instructor,GC,Actividades recreacionales,,no existe en nuestro catálogo
Dental Health,Salud dental,NAD,Salud y ciencia,,¿es nuestra 'Higiene oral' (higiene-oral)? comparar parche
Community Water Safety,Seguridad en aguas públicas,GC,Actividades recreacionales,,no existe en nuestro catálogo
Community Water Safety - Advanced,Seguridad en aguas públicas - Avanzado,GC,Actividades recreacionales,,no existe en nuestro catálogo
Snowshoeing - Advanced,Senderismo con raquetas de nieve - Avanzado,NAD,Actividades recreacionales,,duplicado NAD del mismo parche GC ya enlazado
